sat_sum,hs_gpa,fy_gpa
508,3.4,3.18
488,4.0,3.33
464,3.75,3.25
380,3.75,2.42
428,4.0,2.63
444,4.0,2.91
488,2.8,2.83
460,3.8,2.51
576,4.0,3.82
340,2.6,2.54
512,3.75,3.38
408,3.75,3.02
352,2.8,2.6
432,3.75,3.81
480,3.5,3.02
448,3.75,3.48
388,3.2,2.15
484,4.0,3.8
412,3.75,3.13
408,4.0,3.4
560,4.0,3.59
288,3.25,1.62
468,3.9,3.61
428,3.5,2.54
344,3.5,2.51
368,2.0,0.0
540,4.0,3.72
364,2.3,0.87
392,3.5,2.79
320,3.5,2.0
428,4.0,3.69
528,3.75,3.48
360,3.0,2.49
480,4.0,3.92
504,2.8,3.05
332,2.75,2.4
532,3.5,2.71
428,3.75,1.58
324,2.0,1.38
496,3.75,2.52
328,2.75,2.16
456,3.0,2.57
468,2.25,2.64
348,3.5,2.47
404,3.0,1.0
304,3.0,2.73
324,2.67,2.42
332,3.0,2.3
496,3.8,3.33
364,3.1,2.37
492,3.0,2.11
440,3.0,2.91
388,3.0,3.29
436,3.25,2.67
520,3.2,2.78
428,3.8,3.13
416,2.5,2.94
528,4.0,4.0
492,3.75,2.9
356,3.5,2.92
384,2.9,1.91
368,2.9,3.11
504,2.3,2.02
424,2.8,2.51
416,4.0,3.51
396,4.0,3.24
416,3.8,2.02
520,4.0,2.65
380,3.25,1.74
436,2.7,1.54
408,3.5,2.34
508,3.0,2.49
464,3.25,2.49
420,2.75,2.08
452,3.0,2.19
352,2.5,1.8
300,2.8,2.22
480,3.5,2.95
404,3.25,2.67
424,4.0,2.89
404,3.5,2.66
432,3.0,2.18
436,3.5,2.81
376,3.75,2.06
468,4.0,2.8
368,3.0,2.59
396,3.5,2.33
440,4.0,3.55
508,4.0,2.75
372,3.75,3.59
316,3.25,1.54
432,3.75,2.98
296,3.0,1.28
384,2.5,1.24
468,4.0,2.93
420,3.75,2.48
500,4.0,2.98
436,2.7,1.17
404,3.5,2.04
480,3.2,2.37
432,3.5,3.0
480,2.75,2.98
428,3.4,2.55
388,2.8,1.86
456,2.0,2.09
544,4.0,2.89
504,4.0,3.38
468,3.9,3.94
464,3.0,2.28
524,3.0,2.43
436,4.0,2.77
416,2.0,3.33
428,3.0,2.39
356,3.7,2.37
512,4.0,3.82
508,3.75,3.63
476,2.5,1.78
428,3.0,3.22
564,3.5,2.42
500,4.0,3.82
428,4.0,3.6
364,3.75,1.84
492,3.5,3.3
516,3.8,3.7
440,3.0,2.89
328,2.3,2.38
396,3.75,2.97
404,4.0,3.37
484,3.75,3.18
344,3.0,1.33
484,4.0,3.0
496,4.0,3.75
388,2.6,2.24
372,2.75,2.44
500,2.5,2.72
480,2.5,1.69
444,3.75,3.19
340,3.5,3.1
452,4.0,2.71
548,4.0,3.45
388,3.25,3.36
392,3.2,1.0
496,3.75,3.08
416,2.75,3.16
532,3.75,3.66
488,4.0,3.82
536,3.75,3.94
464,3.75,3.79
412,3.25,2.91
380,3.0,2.33
400,3.5,3.06
408,3.0,1.91
396,3.0,2.47
456,3.5,2.96
436,3.67,2.13
280,2.4,1.98
492,3.5,3.64
412,2.0,0.6
348,3.0,2.39
452,3.5,1.95
460,4.0,3.37
372,4.0,3.02
352,3.0,1.03
420,4.0,3.42
492,4.0,3.31
548,3.5,2.31
492,4.0,2.61
360,2.0,0.0
532,3.7,3.24
448,4.0,3.48
284,2.8,2.26
368,3.25,2.4
444,3.75,3.76
440,2.75,1.14
428,2.25,1.47
