Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA15,OUT049,1125.6561
DRC01,OUT018,629.28015
FDN15,OUT049,580.8092
FDX07,OUT010,4925.934
NCD19,OUT013,3453.1775
FDP36,OUT018,449.71014
FDO10,OUT013,5722.2256
FDP10,OUT027,2086.4226
FDH17,OUT045,1308.9696
FDU28,OUT017,2809.855
FDY07,OUT049,208.61455
FDA03,OUT046,517.1672
FDX32,OUT049,4126.6025
FDS46,OUT046,692.5567
FDF32,OUT013,681.06726
FDP49,OUT046,4805.704
NCB42,OUT018,1669.3256
FDP49,OUT049,1555.5151
DRI11,OUT027,1790.4818
FDU02,OUT035,2713.8362
FDN22,OUT013,3078.1292
FDW12,OUT027,2752.6729
NCB30,OUT035,2826.631
FDC37,OUT019,2517.4185
FDR28,OUT046,4531.827
NCD06,OUT017,1247.8867
FDV10,OUT035,309.12262
DRJ59,OUT013,4130.251
FDE51,OUT010,3138.0173
FDC14,OUT019,4190.459
FDV38,OUT010,657.8987
NCS17,OUT018,2758.159
FDP33,OUT018,2350.6794
FDO23,OUT045,3196.8762
DRH01,OUT046,313.01276
NCX29,OUT049,1203.6133
FDV20,OUT027,674.78156
DRZ11,OUT018,1822.5016
FDX10,OUT027,1097.9481
FDB34,OUT027,2856.991
FDU02,OUT046,153.11414
FDK43,OUT013,2090.1135
FDA46,OUT049,1315.077
FDC02,OUT018,1365.4774
FDL50,OUT013,2604.713
FDM39,OUT010,1235.3252
NCP05,OUT045,674.5801
FDV49,OUT045,750.95166
FDL12,OUT046,4463.7104
FDS02,OUT019,1895.2058
NCL17,OUT046,682.9105
FDM40,OUT013,2372.124
FDR13,OUT013,721.512
FDA43,OUT017,97.78166
NCP18,OUT017,524.4078
FDK21,OUT018,1719.1636
NCX54,OUT045,2993.513
DRK35,OUT049,2210.0464
FDY21,OUT046,522.07025
FDI26,OUT019,4102.933
FDM20,OUT018,743.2965
FDV27,OUT045,344.8321
FDF09,OUT027,2468.4062
FDY40,OUT019,2084.5146
FDY45,OUT027,3043.03
FDC46,OUT010,2603.7512
FDH19,OUT035,557.8251
FDZ03,OUT045,3926.4163
DRH37,OUT045,564.39844
NCI17,OUT046,4704.1987
FDJ58,OUT046,853.0376
FDL12,OUT013,303.10696
FDH35,OUT045,4596.624
FDG02,OUT017,2018.0419
NCZ18,OUT049,1378.6388
FDC29,OUT046,1118.0343
FDQ10,OUT049,2204.6394
FDN48,OUT019,1354.3817
FDL04,OUT017,3016.8582
FDV25,OUT045,2902.6409
FDD58,OUT046,731.23706
FDN04,OUT046,4024.4841
FDV45,OUT018,4191.9746
NCL18,OUT019,2255.571
FDR12,OUT027,2893.456
FDG20,OUT017,2241.3289
FDZ55,OUT035,3314.9739
FDQ49,OUT027,1305.7233
FDN33,OUT046,3425.3435
FDN27,OUT049,2385.7795
FDW20,OUT010,6161.586
DRG27,OUT049,897.5858
DRI25,OUT045,725.0325
FDA44,OUT035,2475.1396
NCR17,OUT035,685.27344
FDU04,OUT019,680.7899
FDF41,OUT049,832.7965
FDB56,OUT035,546.7179
NCP18,OUT027,1254.9767
FDB56,OUT046,73.54697
FDT28,OUT045,2423.363
FDD10,OUT027,4219.2524
FDW57,OUT049,4011.678
DRB48,OUT013,631.1554
FDP09,OUT018,2330.5334
FDH14,OUT013,856.8124
FDA47,OUT013,1054.7247
FDG12,OUT045,2954.5676
DRE60,OUT019,618.95526
DRK49,OUT013,1611.8578
FDD03,OUT046,473.9359
FDS52,OUT017,2399.837
FDW39,OUT019,1320.9948
FDX34,OUT027,2312.8594
FDV11,OUT045,363.49243
FDD17,OUT049,566.3097
FDZ16,OUT017,6363.422
FDZ46,OUT035,421.88455
DRA12,OUT017,1566.6793
FDY58,OUT018,2945.4905
NCF19,OUT017,2013.3619
DRJ13,OUT045,3976.6152
FDB14,OUT010,2258.7593
FDJ38,OUT035,836.19336
FDW11,OUT017,2977.0574
FDL40,OUT035,1690.6898
DRI49,OUT046,199.35231
FDV38,OUT017,2948.2795
DRG23,OUT013,614.70447
NCP30,OUT045,4693.1924
FDY25,OUT027,405.86224
NCH54,OUT046,1032.6078
NCR53,OUT027,1877.8342
FDS52,OUT010,3136.8394
FDG02,OUT018,1751.5432
NCO26,OUT046,1366.7764
FDH35,OUT027,1797.584
FDB51,OUT045,2917.2202
FDX44,OUT017,2979.6223
NCN07,OUT010,3801.3416
NCC31,OUT035,5540.282
NCX54,OUT017,4637.491
NCO55,OUT045,1546.7234
NCC30,OUT049,2781.1433
FDI16,OUT035,2471.6619
FDP16,OUT049,2787.7424
FDB11,OUT035,2147.1604
NCB06,OUT035,3464.589
FDA45,OUT035,2944.2969
NCO26,OUT035,1685.1703
DRJ25,OUT017,366.31247
FDR28,OUT018,543.35583
FDI04,OUT018,945.8318
DRK12,OUT027,3219.0383
FDX20,OUT046,188.99187
NCI18,OUT018,2544.941
FDB36,OUT018,143.52705
FDN13,OUT017,4429.503
DRD24,OUT017,2094.2742
FDQ28,OUT013,2617.9724
FDM22,OUT013,60.44551
FDR07,OUT027,1351.4747
FDV25,OUT018,2191.8164
DRF49,OUT046,1774.8705
FDW51,OUT046,2595.4565
DRL01,OUT017,431.53525
FDP25,OUT017,4896.419
FDL50,OUT018,1207.6859
NCB30,OUT027,1636.6458
FDW11,OUT018,1803.5773
NCM43,OUT035,2247.3284
FDK44,OUT017,1888.5134
FDM15,OUT013,2094.0798
FDS31,OUT013,464.20673
FDI32,OUT010,3018.8997
FDR47,OUT010,2716.3186
FDB35,OUT045,1315.0153
NCU05,OUT010,2910.9895
DRY23,OUT019,3701.9292
FDO24,OUT045,659.7681
FDQ28,OUT027,623.9929
FDV39,OUT045,102.3136
NCO17,OUT019,1433.2057
FDU50,OUT013,2342.925
FDT12,OUT027,1622.1261
FDK58,OUT018,2738.4792
FDO08,OUT019,366.83096
NCW29,OUT049,549.5028
FDE04,OUT045,3782.1091
NCB19,OUT049,519.1351
FDV15,OUT049,1226.8495
FDL58,OUT049,2452.1587
FDA08,OUT045,3070.0217
FDT43,OUT018,689.0537
NCX06,OUT027,1567.208
FDT20,OUT046,1524.8309
FDB41,OUT046,2546.3345
NCN55,OUT049,1445.9282
FDE40,OUT027,2499.2634
FDX49,OUT027,1689.3375
NCM53,OUT045,2670.2546
FDE36,OUT035,1483.8857
FDN57,OUT045,3548.7478
FDI24,OUT027,2550.027
FDI19,OUT046,1575.6957
FDF24,OUT010,2244.0671
FDG52,OUT049,502.47205
DRF36,OUT045,1190.6
FDS45,OUT019,1336.3866
FDX40,OUT010,2866.1924
DRK12,OUT035,2957.671
DRC27,OUT035,1259.0468
FDL58,OUT017,1240.6743
NCD30,OUT045,1811.2428
NCZ54,OUT010,1154.2869
FDE10,OUT010,178.98372
FDR44,OUT010,4714.027
FDP28,OUT010,4120.9385
FDX15,OUT013,1725.4436
FDA39,OUT035,3885.2903
FDY24,OUT049,1853.7715
FDC60,OUT017,3380.2463
FDH28,OUT046,3253.7927
FDT25,OUT017,710.0322
DRJ13,OUT013,1270.1707
NCO07,OUT019,5877.7227
FDW20,OUT013,2882.0046
DRF27,OUT019,3043.074
FDS49,OUT035,977.073
FDX25,OUT027,4699.2354
NCX42,OUT027,3912.383
FDG33,OUT027,1624.1163
FDL56,OUT045,2707.74
FDF14,OUT035,489.20206
NCD06,OUT046,4558.918
DRM47,OUT027,1852.8485
FDS46,OUT019,1563.9922
FDB35,OUT013,2153.0764
FDX21,OUT027,2295.9834
NCU05,OUT027,2815.449
NCR38,OUT045,1983.3387
NCR18,OUT017,1843.7183
NCU41,OUT035,2498.5718
FDY56,OUT017,436.7013
DRJ51,OUT035,3451.9514
FDK21,OUT035,3296.3967
FDY25,OUT013,2488.9314
FDU44,OUT035,91.4424
FDL43,OUT049,2163.8042
FDF05,OUT017,511.77548
DRF15,OUT019,835.7821
FDL20,OUT018,2543.2078
FDV32,OUT049,4451.534
FDJ34,OUT013,800.97876
FDG08,OUT045,2486.0923
FDQ04,OUT019,2789.0723
FDW13,OUT017,4404.319
NCI17,OUT013,429.9389
FDY03,OUT045,1448.4838
FDS12,OUT017,198.67746
FDJ55,OUT013,3044.4705
DRK01,OUT035,4220.9756
FDG28,OUT017,3069.802
FDY38,OUT045,382.57916
FDN01,OUT045,1991.3986
NCR54,OUT013,667.0143
FDG29,OUT013,1513.1051
FDG24,OUT013,2640.0396
FDG59,OUT017,3057.2869
FDM28,OUT013,2618.8367
FDW04,OUT046,2465.027
FDS26,OUT013,1022.26514
FDQ56,OUT013,4105.1426
FDK51,OUT035,57.211662
FDL22,OUT046,2536.1135
FDH19,OUT027,2885.7017
FDY55,OUT013,297.82263
FDY03,OUT017,2867.9802
FDK21,OUT010,2724.2087
FDZ10,OUT027,583.2899
FDZ32,OUT018,4618.04
NCZ18,OUT035,3930.267
NCF07,OUT027,3125.1716
DRE49,OUT017,1334.2251
FDJ08,OUT019,3576.6516
FDT39,OUT035,1600.547
FDE08,OUT010,472.03986
NCD06,OUT018,1938.2404
FDB57,OUT035,779.58386
NCT54,OUT049,2566.2512
DRF49,OUT045,4631.6895
FDM25,OUT027,1021.6864
FDF20,OUT045,6411.9185
FDH27,OUT018,1477.3185
FDV60,OUT027,2012.9674
FDY59,OUT049,3083.1812
FDK36,OUT035,221.95735
NCM31,OUT046,2580.3506
FDE33,OUT017,215.89803
FDU36,OUT046,1213.6993
FDV13,OUT027,230.2454
FDV20,OUT019,1287.0115
NCQ54,OUT035,3928.9822
FDO23,OUT018,2761.423
DRE60,OUT045,2378.5234
DRP47,OUT017,3012.1145
FDB21,OUT045,386.60663
FDR04,OUT018,609.1349
FDX23,OUT046,1755.9481
FDX19,OUT035,347.26044
FDD40,OUT035,4008.193
FDA01,OUT046,2447.9756
FDS33,OUT046,396.24872
FDM50,OUT027,440.6117
FDB29,OUT013,284.22864
FDF46,OUT045,1659.646
FDA33,OUT045,3026.0808
FDC08,OUT010,812.5873
FDB53,OUT045,1521.5094
FDY31,OUT027,1460.8782
DRQ35,OUT027,2990.137
FDX36,OUT049,111.258255
DRD13,OUT017,462.16733
FDC52,OUT017,2380.739
FDB45,OUT049,1568.227
