Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,828.6231
FDW14,OUT017,803.0496
NCN55,OUT010,827.49506
FDQ58,OUT017,816.4991
FDY38,OUT027,817.08435
FDH56,OUT046,797.8548
FDL48,OUT018,823.70465
FDC48,OUT027,819.81494
FDN33,OUT045,808.0144
FDA36,OUT017,811.84296
FDT44,OUT017,822.5257
FDQ56,OUT045,798.8057
NCC54,OUT019,803.52814
FDU11,OUT049,816.39923
DRL59,OUT013,782.383
FDM24,OUT049,817.17596
FDI57,OUT045,827.94257
DRC12,OUT018,825.426
NCM42,OUT027,827.7384
FDA46,OUT010,839.902
FDA31,OUT013,798.3543
NCJ31,OUT035,809.5398
FDG52,OUT046,801.99445
NCL19,OUT019,801.96857
FDS10,OUT035,809.6061
FDX22,OUT010,824.5475
NCF19,OUT035,798.232
NCE06,OUT046,801.9816
DRC27,OUT046,808.26025
FDE21,OUT035,801.2679
NCR42,OUT019,792.21515
FDX51,OUT018,831.3177
NCR06,OUT018,821.5043
FDU31,OUT027,823.2413
FDU59,OUT017,820.04504
FDR03,OUT027,822.6933
FDS49,OUT027,819.2301
FDD48,OUT010,818.8552
NCF18,OUT017,827.6289
NCD43,OUT027,827.10614
NCD54,OUT018,833.2473
FDY19,OUT010,828.9453
NCY54,OUT017,818.67773
NCL19,OUT018,820.42316
FDP23,OUT010,828.90375
FDC26,OUT013,793.40045
FDR14,OUT010,813.77606
NCS41,OUT035,806.1991
FDF41,OUT035,803.54224
FDU34,OUT046,808.924
DRH11,OUT046,796.02814
FDM03,OUT013,804.65753
FDS31,OUT017,819.2996
FDJ20,OUT017,825.94305
FDV44,OUT027,823.6072
FDG02,OUT049,816.2728
FDA09,OUT013,795.5558
FDT04,OUT013,795.96814
FDL58,OUT019,808.4962
FDE52,OUT045,792.83716
FDW12,OUT035,798.9376
FDL51,OUT017,818.22327
NCY42,OUT027,828.35455
FDR07,OUT017,825.7245
FDN40,OUT045,801.28955
FDB35,OUT027,830.84625
FDA22,OUT017,823.02295
NCL06,OUT046,814.6072
FDI35,OUT013,809.89526
NCW42,OUT045,824.4457
NCX06,OUT049,826.07007
FDC37,OUT027,821.4155
FDZ14,OUT018,815.6167
DRG49,OUT049,816.25146
NCG06,OUT045,823.899
DRC36,OUT045,799.54285
FDV21,OUT019,812.4485
FDB53,OUT046,809.59143
DRP47,OUT019,811.1652
FDA14,OUT013,788.8935
DRC24,OUT035,797.0566
FDW21,OUT018,824.3543
NCH29,OUT046,801.93475
FDU58,OUT013,790.9067
FDY27,OUT017,807.68884
FDV56,OUT035,797.2366
FDT59,OUT046,820.00134
FDB23,OUT046,825.06934
FDR49,OUT045,802.0378
FDB03,OUT010,822.5697
FDN39,OUT045,809.3645
FDX02,OUT027,817.24005
FDQ16,OUT027,822.68195
FDU35,OUT018,824.6144
NCT29,OUT013,792.8251
FDZ27,OUT046,798.2104
FDN57,OUT017,829.86066
FDA03,OUT018,821.19556
FDZ36,OUT045,803.656
NCU05,OUT013,790.4774
FDT39,OUT018,828.1583
FDK60,OUT017,819.34125
FDZ25,OUT017,825.75446
FDG12,OUT046,803.3148
DRB01,OUT019,805.4876
NCC43,OUT027,834.8732
FDX13,OUT019,805.22394
FDM22,OUT049,817.1948
FDJ03,OUT027,812.50793
FDU14,OUT018,824.5387
FDB33,OUT010,826.9515
FDP27,OUT046,812.06146
FDO38,OUT010,830.0341
FDE28,OUT027,822.28796
FDO27,OUT035,812.34766
DRL23,OUT027,806.6932
FDS28,OUT046,800.3998
FDX24,OUT013,789.6752
FDZ02,OUT035,801.02936
FDL46,OUT045,825.4337
FDS60,OUT027,823.5618
NCO06,OUT017,820.37823
FDO16,OUT035,793.47174
FDC60,OUT049,814.6699
FDA48,OUT018,831.66797
FDZ36,OUT027,815.3256
FDK27,OUT045,806.43555
FDW23,OUT018,814.22925
FDM14,OUT018,826.6281
FDM14,OUT013,792.83453
FDW60,OUT018,823.52844
FDE21,OUT013,797.22455
NCM42,OUT035,798.01984
FDY59,OUT010,816.1932
DRI49,OUT049,814.43195
FDT28,OUT019,802.4597
FDQ22,OUT018,831.0786
FDR60,OUT049,818.52167
FDC50,OUT019,806.7422
FDV24,OUT013,792.71497
DRF48,OUT010,817.02295
FDQ47,OUT046,804.1232
DRN36,OUT049,813.3385
NCY06,OUT035,805.39417
FDE52,OUT035,800.84094
NCB54,OUT045,802.28485
NCF31,OUT035,803.5386
FDJ08,OUT027,831.2874
NCC07,OUT017,822.7386
NCD19,OUT027,825.3796
FDL46,OUT049,828.5079
FDM20,OUT045,807.25964
NCI06,OUT010,829.4888
DRM11,OUT035,798.0523
NCH07,OUT018,832.17957
FDS23,OUT013,797.56793
FDO49,OUT018,813.9916
FDS35,OUT049,813.87573
DRK39,OUT045,793.6399
DRI39,OUT049,818.1542
FDV04,OUT017,813.62335
NCN14,OUT035,805.0802
FDH08,OUT013,796.6549
FDS20,OUT046,801.64404
FDV40,OUT049,819.19666
FDZ48,OUT010,827.51416
FDS24,OUT027,816.78876
FDK44,OUT049,824.83887
FDS48,OUT045,809.9347
FDK26,OUT010,821.0357
FDD23,OUT045,817.6268
NCH54,OUT017,820.5
NCP14,OUT010,825.47473
FDM60,OUT010,812.20593
FDV24,OUT017,811.14514
FDH08,OUT018,828.951
FDS12,OUT027,828.9405
FDR39,OUT027,831.71643
FDP12,OUT027,814.67456
DRF60,OUT027,819.1686
FDC09,OUT035,797.2333
FDF50,OUT018,830.0583
FDG28,OUT035,801.7866
NCE19,OUT017,808.70703
NCM53,OUT010,821.90906
NCN18,OUT049,814.20636
FDF32,OUT035,807.40625
FDF11,OUT013,806.9821
DRI59,OUT049,812.3304
NCG54,OUT035,806.95557
FDM44,OUT046,801.5537
FDT57,OUT018,842.12787
FDV24,OUT046,806.26483
